TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
12:05 AM,AF218,Paris (CDG),Air France,B77W (F-GZNK),Landed 12:48 AM
12:05 AM,6E5383,Hyderabad (HYD),IndiGo,A20N (VT-ITI),Landed 12:23 AM
12:10 AM,G82608,Jaipur (JAI),GoAir,A320 (VT-GOO),Landed 12:57 AM
12:10 AM,6E665,Delhi (DEL),IndiGo,A320 (VT-IHQ),Landed 11:45 PM
12:15 AM,BA139,London (LHR),British Airways (GREAT Festival of Creativity),B772 (G-YMML),Landed 1:21 AM
12:15 AM,UK202,Dubai (DXB),Vistara,A20N (VT-TNK),Landed 12:01 AM
12:15 AM,6E6152,Coimbatore (CJB),IndiGo,A320 (VT-IGS),Landed 12:09 AM
12:20 AM,G8526,Bengaluru (BLR),GoAir,A20N (VT-WJA),Landed 12:04 AM
12:20 AM,SG6442,Goa (GOI),SpiceJet,B737 (VT-SYU),Landed 1:28 AM
12:20 AM,6E387,Chennai (MAA),IndiGo,A20N (VT-IVN),Landed 1:26 AM
12:25 AM,6E1832,Jeddah (JED),IndiGo,A20N (VT-IJK),Landed 1:07 AM
12:30 AM,AI84,Goa (GOI),Air India,A20N (VT-EXG),Landed 12:37 AM
12:30 AM,I5306,Bengaluru (BLR),AirAsia,A320 (VT-GWH),Landed 12:11 AM
12:30 AM,6E961,Kolkata (CCU),IndiGo,A20N (VT-IZD),Landed 12:40 AM
12:35 AM,CX663,Hong Kong (HKG),Cathay Pacific,B77W (B-KPK),Landed 12:53 AM
12:40 AM,KL877,Amsterdam (AMS),KLM,B789 (PH-BHI),Landed 1:01 AM
12:45 AM,6.00E+155,Delhi (DEL),IndiGo,A320 (VT-IEG),Landed 12:44 AM
12:55 AM,SG798,Hyderabad (HYD),SpiceJet (With All Our Heart Livery),B738 (VT-SZK),Landed 1:17 AM
12:55 AM,VS354,London (LHR),Virgin Atlantic,B789 (G-VWHO),Landed 1:19 AM
12:55 AM,6E849,Bengaluru (BLR),IndiGo,A20N (VT-IVS),Landed 1:15 AM
