Time,FlightNumber,Source,Flight Name,Aircraft,Status
12:05 AM,AF218,Paris (CDG),Air France,B77W (F-GZNS),Landed 12:42 AM
12:05 AM,6E5383,Hyderabad (HYD),IndiGo,A20N (VT-IZU),Landed 12:15 AM
12:10 AM,G82608,Jaipur (JAI),GoAir,A320 (VT-GOK),Landed 11:21 PM
12:10 AM,6E665,Delhi (DEL),IndiGo,A320 (VT-IHB),Landed 11:48 PM
12:15 AM,BA139,London (LHR),British Airways,B77W (G-STBF),Landed 12:40 AM
12:15 AM,UK202,Dubai (DXB),Vistara,A20N (VT-TNU),Landed 11:39 PM
12:15 AM,6E6152,Coimbatore (CJB),IndiGo,A320 (VT-IFV),Landed 11:54 PM
12:20 AM,G8526,Bengaluru (BLR),GoAir,A20N (VT-WGM),Landed 11:44 PM
12:20 AM,SG6442,Goa (GOI),SpiceJet,B737 (VT-SYO),Landed 12:56 AM
12:20 AM,6E387,Chennai (MAA),IndiGo,A20N (VT-ITX),Landed 12:51 AM
12:25 AM,6E1832,Jeddah (JED),IndiGo,A20N (VT-IJP),Landed 11:48 PM
12:30 AM,I5306,Bengaluru (BLR),AirAsia,A320 (VT-AMD),Landed 12:17 AM
12:30 AM,6E961,Kolkata (CCU),IndiGo,A20N (VT-IJT),Landed 12:24 AM
12:35 AM,CX663,Hong Kong (HKG),Cathay Pacific,B77W (B-KQO),Landed 12:57 AM
12:40 AM,KL877,Amsterdam (AMS),KLM,B772 (PH-BQD),Landed 12:47 AM
12:45 AM,AI84,Goa (GOI),Air India,A320 (VT-EXE),Landed 12:39 AM
12:45 AM,6.00E+155,Delhi (DEL),IndiGo,A320 (VT-IFP),Landed 12:20 AM
12:55 AM,VS354,London (LHR),Virgin Atlantic,B789 (G-VBZZ),Landed 1:04 AM
12:55 AM,SG798,Hyderabad (HYD),SpiceJet,737,Canceled
12:55 AM,6E849,Bengaluru (BLR),IndiGo,A320 (VT-IDX),Landed 12:45 AM
1:00 AM,LH756,Frankfurt (FRA),Lufthansa,B744 (D-ABVP),Landed 1:28 AM
1:00 AM,G8544,Delhi (DEL),GoAir,A320 (VT-WAL),Landed 12:34 AM
1:10 AM,AI863,Delhi (DEL),Air India,A319 (VT-SCO),Landed 1:10 AM
1:10 AM,KU301,Kuwait City (KWI),Kuwait Airways,A20N (9K-AKL),Landed 12:36 AM
1:10 AM,I5316,Kolkata (CCU),AirAsia,A320 (VT-VTZ),Landed 12:49 AM
1:15 AM,CA889,Beijing (PEK),Air China,A333 (B-5948),Landed 1:17 AM
1:20 AM,G8380,Goa (GOI),GoAir,A20N (VT-WGJ),Landed 1:08 AM
1:30 AM,G8512,Kolkata (CCU),GoAir,A20N (VT-WGG),Landed 1:18 AM
