Time,Flight Number,Source,Flight Name,Aircraft,Status
12:05 AM,AF218,Paris (CDG),Air France,B772 (F-GSPE),Landed 12:00 AM
12:05 AM,6E5383,Hyderabad (HYD),IndiGo,A320 (VT-IEU),Landed 12:08 AM
12:10 AM,AI632,Bhopal (BHO),Air India,A319 (VT-SCV),Landed 12:52 AM
12:10 AM,G82608,Jaipur (JAI),GoAir,A20N (VT-WGA),Landed 12:14 AM
12:10 AM,6E665,Delhi (DEL),IndiGo,A320 (VT-IDV),Landed 12:17 AM
12:15 AM,BA139,London (LHR),British Airways,B772 (G-YMMO),Landed 12:56 AM
12:15 AM,UK202,Dubai (DXB),Vistara,A20N (VT-TNE),Landed 12:32 AM
12:15 AM,6E6152,Coimbatore (CJB),IndiGo,A20N (VT-ITW),Landed 12:20 AM
12:20 AM,G8526,Bengaluru (BLR),GoAir,A20N (VT-WGI),Landed 12:41 AM
12:20 AM,SG6442,Goa (GOI),SpiceJet,B737 (VT-SLP),Landed 1:07 AM
12:20 AM,6E387,Chennai (MAA),IndiGo,A320 (VT-IHH),Landed 1:40 AM
12:25 AM,6E1832,Jeddah (JED),IndiGo,320,Unknown
12:25 AM,UK967,Delhi (DEL),Vistara,A320 (VT-TTF),Landed 12:45 AM
12:30 AM,AI84,Goa (GOI),Air India,A321 (VT-PPB),Landed 12:34 AM
12:30 AM,I5306,Bengaluru (BLR),AirAsia,A320 (VT-NAG),Landed 12:25 AM
12:30 AM,6E961,Kolkata (CCU),IndiGo,A320 (VT-IDX),Landed 12:48 AM
12:40 AM,AI343,Singapore (SIN),Air India,A20N (VT-CIM),Landed 1:08 AM
12:40 AM,KE655,Seoul (ICN),Korean Air,A332 (HL7538),Landed 1:17 AM
12:40 AM,KL877,Amsterdam (AMS),KLM,B789 (PH-BHP),Landed 12:38 AM
12:45 AM,CX66,Amsterdam (AMS),Cathay Pacific,74N,Unknown
12:45 AM,6.00E+155,Delhi (DEL),IndiGo,A320 (VT-IEY),Landed 12:49 AM
12:55 AM,VS354,London (LHR),Virgin Atlantic,B789 (G-VMAP),Landed 1:27 AM
12:55 AM,6E849,Bengaluru (BLR),IndiGo,A320 (VT-IES),Landed 1:21 AM
1:00 AM,G8544,Delhi (DEL),GoAir,A320 (VT-WAL),Landed 12:58 AM
1:00 AM,LH756,Frankfurt (FRA),Lufthansa,B744 (D-ABVS),Landed 12:54 AM
1:10 AM,KU301,Kuwait City (KWI),Kuwait Airways,B77W (9K-AOH),Landed 12:36 AM
1:10 AM,AI863,Delhi (DEL),Air India,A20N (VT-EXP),Landed 1:15 AM
1:10 AM,I5316,Kolkata (CCU),AirAsia (Kabali Livery),A320 (VT-APJ),Landed 2:24 AM
1:20 AM,G8380,Goa (GOI),GoAir,A320 (VT-GOS),Landed 1:37 AM
1:30 AM,IA441,Najaf (NJF),Iraqi Airways,B738 (YI-ASI),Landed 1:09 AM
1:30 AM,G8512,Kolkata (CCU),GoAir,A20N (VT-WJD),Landed 1:26 AM
1:30 AM,6.00E+62,Dubai (DXB),IndiGo,A320 (VT-IEV),Landed 1:19 AM
1:35 AM,WE335,Bangkok (BKK),THAI Smile,A320 (HS-TXA),Landed 1:35 AM
1:35 AM,BZ154,Hyderabad (HYD),Blue Dart Aviation,75F,Unknown
1:45 AM,SG8287,Delhi (DEL),SpiceJet,B738 (VT-SYJ),Landed 1:30 AM
1:50 AM,SG82,Bangkok (BKK),SpiceJet,B738 (VT-SXA),Landed 1:43 AM
1:50 AM,G8413,Ahmedabad (AMD),GoAir,A20N (VT-WGX),Landed 2:13 AM
1:50 AM,6.00E+263,Hyderabad (HYD),IndiGo,A320 (VT-IKA),Landed 1:46 AM
2:05 AM,IX244,Doha (DOH),Air India Express (Nagaland Folk/Manipuri Dance),B738 (VT-AYD),Landed 2:01 AM
2:05 AM,BZ102,Bengaluru (BLR),Blue Dart Aviation,B752 (VT-BDO),Landed 2:02 AM
2:05 AM,BZ654,Hyderabad (HYD),Blue Dart Aviation,75F,Unknown
2:05 AM,I5472,Goa (GOI),AirAsia,A320 (VT-ATB),Landed 2:21 AM
2:10 AM,UL141,Colombo (CMB),SriLankan Airlines,A21N (4R-ANC),Landed 2:15 AM
2:10 AM,SG7063,Delhi (DEL),SpiceXpress,B737 (VT-SFD),Landed 1:50 AM
2:15 AM,EK500,Dubai (DXB),Emirates (Expo 2020 - Mobility Livery),A388 (A6-EOC),Landed 2:04 AM
2:25 AM,SG7046,Sharjah (SHJ),SpiceJet,-,Unknown
2:30 AM,QR8606,Doha (DOH),Qatar Cargo,B77L (A7-BFT),Landed 3:01 AM
2:30 AM,QR556,Doha (DOH),Qatar Airways,B77W (A7-BEV),Landed 2:20 AM
2:35 AM,ET640,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-ATY),Landed 2:10 AM
2:40 AM,EY206,Abu Dhabi (AUH),Etihad,B77W (A6-ETG),Landed 2:13 AM
2:45 AM,6.00E+82,Muscat (MCT),IndiGo,A320 (VT-IAN),Landed 3:11 AM
3:05 AM,J9401,Kuwait City (KWI),Jazeera Airways,A320 (9K-CAI),Landed 2:42 AM
4:00 AM,AI130,London (LHR),Air India,B77W (VT-ALX),Landed 5:40 AM
4:00 AM,SG7032,Delhi (DEL),SpiceXpress,B738 (VT-SFF),Landed 4:55 AM
4:05 AM,SG788,Bengaluru (BLR),SpiceJet,B738 (VT-SLJ),Landed 4:04 AM
4:10 AM,AI984,Dubai (DXB),Air India,A321 (VT-PPI),Landed 3:55 AM
4:10 AM,FZ445,Dubai (DXB),flydubai,B738 (A6-FEZ),Landed 3:41 AM
4:10 AM,BZ201,Delhi (DEL),Blue Dart Aviation,B752 (VT-BDB),Landed 4:11 AM
4:15 AM,AI124,Frankfurt (FRA),Air India,B788 (VT-ANV),Landed 4:53 AM
4:15 AM,G9406,Sharjah (SHJ),Air Arabia,A320 (A6-AOU),Landed 3:29 AM
4:15 AM,HM260,Victoria (SEZ),Air Seychelles,A20N (S7-VEV),Landed 4:04 AM
4:15 AM,6E1718,Doha (DOH),IndiGo,A320 (VT-IFX),Landed 4:43 AM
4:20 AM,LH8370,Frankfurt (FRA),Lufthansa,M1F,Unknown
4:20 AM,TC400,Dar-es-Salaam (DAR),Air Tanzania,B788 (5H-TCG),Landed 4:09 AM
4:20 AM,6E1834,Abu Dhabi (AUH),IndiGo,A21N (VT-IUF),Landed 4:14 AM
4:20 AM,SG7087,Chennai (MAA),SpiceXpress,B737 (VT-SFE),Landed 3:53 AM
4:25 AM,AI986,Muscat (MCT),Air India,A321 (VT-PPT),Landed 4:49 AM
4:25 AM,BZ481,Ahmedabad (AMD),Blue Dart Aviation,B752 (VT-BDQ),Landed 4:45 AM
4:30 AM,CX2066,Frankfurt (FRA),Cathay Pacific Cargo,B748 (B-LJJ),Landed 4:00 AM
4:30 AM,AI276,Colombo (CMB),Air India,A319 (VT-SCL),Landed 5:53 AM
4:50 AM,G8385,Kannur (CNN),GoAir,A20N (VT-WJA),Landed 4:58 AM
4:50 AM,6.00E+184,Cochin (COK),IndiGo,A20N (VT-ITT),Landed 4:51 AM
4:55 AM,GF56,Bahrain (BAH),Gulf Air,A321 (A9C-CB),Landed 4:38 AM
4:55 AM,G82501,Delhi (DEL),GoAir,A20N (VT-WJP),Landed 4:55 AM
5:00 AM,MK748,Port Louis (MRU),Air Mauritius,A332 (3B-NBM),Landed 4:40 AM
5:10 AM,6E1826,Riyadh (RUH),IndiGo,A21N (VT-IUB),Landed 5:15 AM
5:10 AM,TK720,Istanbul (IST),Turkish Airlines,B77W (TC-LKA),Landed 5:00 AM
5:15 AM,AI30,Ahmedabad (AMD),Air India,B788 (VT-ANS),Landed 5:09 AM
5:15 AM,BZ4481,Ahmedabad (AMD),Blue Dart Aviation,75F,Unknown
5:25 AM,AI34,Goa (GOI),Air India,A20N (VT-EXL),Landed 5:02 AM
5:25 AM,6E428,Hyderabad (HYD),IndiGo,A320 (VT-IEU),Landed 5:04 AM
5:35 AM,KQ204,Nairobi (NBO),Kenya Airways,B738 (5Y-KYE),Landed 5:35 AM
5:40 AM,SL218,Bangkok (DMK),Thai Lion Air,B738 (HS-LUH),Landed 6:00 AM
5:40 AM,LH8153,Singapore (SIN),Lufthansa Cargo,MD11 (D-ALCA),Landed 6:09 AM
5:45 AM,G830,Muscat (MCT),GoAir,A20N (VT-WGK),Landed 5:20 AM
5:50 AM,AI946,Abu Dhabi (AUH),Air India,A20N (VT-CIF),Landed 6:20 AM
6:15 AM,KU303,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKH),Landed 5:29 AM
6:15 AM,AI349,Delhi (DEL),Air India,B788 (VT-ANT),Landed 5:47 AM
6:20 AM,6.00E+235,Hyderabad (HYD),IndiGo,A20N (VT-IZQ),Landed 6:07 AM
6:25 AM,MS517,Cairo (CAI),EgyptAir,ABF,Unknown
6:25 AM,SG14,Dubai (DXB),SpiceJet,B738 (VT-SZM),Landed 6:43 AM
6:30 AM,6E6789,Ahmedabad (AMD),IndiGo,A320 (VT-IFE),Landed 6:24 AM
6:40 AM,WY201,Muscat (MCT),Oman Air,B788 (A4O-SA),Landed 6:03 AM
6:40 AM,SG611,Goa (GOI),SpiceJet,B737 (VT-SLB),Landed 6:14 AM
6:40 AM,SG636,Ahmedabad (AMD),Corendon Airlines,B738 (TC-CON),Landed 6:12 AM
6:40 AM,6E456,Bengaluru (BLR),IndiGo,A20N (VT-IZM),Landed 6:28 AM
6:45 AM,AI128,London (LHR),Air India,B788 (VT-ANK),Landed 7:16 AM
6:45 AM,6E5385,Nagpur (NAG),IndiGo,A20N (VT-IVF),Landed 6:22 AM
6:50 AM,G8302,Chennai (MAA),GoAir,A320 (VT-GON),Landed 6:44 AM
6:55 AM,SG69,Jeddah (JED),SpiceJet,B738 (VT-SGY),Landed 7:58 AM
6:55 AM,IX252,Sharjah (SHJ),Air India Express (White Tiger/Spotted Deer),B738 (VT-AYB),Landed 6:33 AM
7:00 AM,SG20,Riyadh (RUH),SpiceJet,B738 (VT-SGJ),Landed 7:28 AM
7:05 AM,SG704,Hyderabad (HYD),Corendon Airlines,B738 (TC-TJR),Landed 6:43 AM
7:05 AM,6.00E+171,Delhi (DEL),IndiGo,A320 (VT-IGK),Landed 6:54 AM
7:05 AM,6E654,Chennai (MAA),IndiGo,A20N (VT-IVW),Landed 6:50 AM
7:10 AM,I5303,Bengaluru (BLR),AirAsia,A320 (VT-ATQ),Landed 7:07 AM
7:10 AM,SG6351,Bengaluru (BLR),SpiceJet,B738 (VT-SLG),Landed 7:11 AM
7:15 AM,ET610,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-AVC),Landed 6:37 AM
7:15 AM,AI620,Hyderabad (HYD),Air India,A319 (VT-SCN),Landed 6:49 AM
7:20 AM,G8418,Bengaluru (BLR),GoAir,A20N (VT-WJB),Landed 7:27 AM
7:20 AM,6E5322,Bengaluru (BLR),IndiGo,A20N (VT-IJE),Landed 7:05 AM
7:25 AM,EY212,Abu Dhabi (AUH),Etihad,A320 (A6-EIY),Landed 7:12 AM
7:30 AM,I5881,Delhi (DEL),AirAsia,A320 (VT-CCU),Landed 7:02 AM
