TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,STATUS
"Saturday, Feb 01",,,,,
8:55 AM,SG63,Dhaka (DAC),SpiceJet,B738 (VT-SLN),Departed 11:14 AM
8:55 AM,6E382,Hyderabad (HYD),IndiGo,A320 (VT-IDT),Departed 9:19 AM
9:00 AM,AI671,Chennai (MAA),Air India,A20N (VT-EXG),Departed 11:45 AM
9:00 AM,AI866,Delhi (DEL),Air India,A20N (VT-EXL),Departed 11:21 AM
9:05 AM,UK863,Bengaluru (BLR),Vistara,B738 (VT-TGI),Departed 9:27 AM
9:15 AM,SG479,Jaisalmer (JSA),SpiceJet,B737 (VT-SYO),Departed 9:32 AM
9:15 AM,SG8153,Jodhpur (JDH),SpiceJet,737,Unknown
9:20 AM,SG6361,Coimbatore (CJB),SpiceJet,B738 (VT-SYW),Departed 9:51 AM
9:20 AM,6E495,Chandigarh (IXC),IndiGo,A20N (VT-IVN),Departed 9:29 AM
9:25 AM,SG2873,Porbandar (PBD),SpiceJet,DH8D (VT-SUJ),Departed 9:56 AM
9:25 AM,SG8133,Jodhpur (JDH),SpiceJet,B738 (VT-SLJ),Departed 9:48 AM
9:25 AM,6E374,Kolkata (CCU),IndiGo,A320 (VT-IKE),Departed 10:00 AM
9:25 AM,6E801,Raipur (RPR),IndiGo,A21N (VT-IUL),Departed 9:35 AM
9:30 AM,SG5,Dubai (DXB),SpiceJet,B738 (VT-SZJ),Departed 9:41 AM
9:30 AM,6E6126,Delhi (DEL),IndiGo,A320 (VT-IAL),Departed 12:49 PM
9:35 AM,6.00E+236,Bengaluru (BLR),IndiGo,A20N (VT-IJJ),Departed 9:47 AM
9:40 AM,6E6834,Chennai (MAA),IndiGo,A20N (VT-IVY),Departed 9:54 AM
9:45 AM,UK825,Chennai (MAA),Vistara,B738 (VT-TGA),Departed 12:13 PM
9:50 AM,AI570,Chennai (MAA),Air India,A20N (VT-CIG),Departed 10:45 AM
9:50 AM,AI651,Raipur (RPR),Air India,A321 (VT-PPD),Departed 10:32 AM
9:50 AM,G8319,Delhi (DEL),GoAir,A320 (VT-GOM),Departed 10:08 AM
9:55 AM,SV749,Riyadh (RUH),Saudia,A333 (HZ-AQB),Departed 10:13 AM
9:55 AM,6E568,Mangalore (IXE),IndiGo,A320 (VT-IFC),Departed 10:05 AM
10:00 AM,AI809,Delhi (DEL),Air India,A20N (VT-EXK),Departed 11:33 AM
10:05 AM,AI645,Jodhpur (JDH),Air India,A20N (VT-EXI),Departed 11:30 AM
10:05 AM,AI688,Dehradun (DED),Air India,A319 (VT-SCN),Departed 10:34 AM
10:10 AM,AI639,Bengaluru (BLR),Air India,A20N (VT-EXU),Departed 11:46 AM
10:10 AM,SG6702,Delhi (DEL),SpiceJet,B738 (VT-SYG),Departed 10:43 AM
10:20 AM,6E533,Bhubaneswar (BBI),IndiGo,A20N (VT-IZM),Departed 10:20 AM
10:25 AM,AI695,Varanasi (VNS),Air India,A321 (VT-PPU),Departed 11:53 AM
10:25 AM,EK505,Dubai (DXB),Emirates,B77W (A6-EBU),Departed 11:05 AM
10:25 AM,SG6258,Patna (PAT),SpiceJet,B738 (VT-SYY),Departed 10:57 AM
10:25 AM,UK994,Delhi (DEL),Vistara,A320 (VT-TTE),Departed 11:08 AM
10:30 AM,G8287,Jammu (IXJ),GoAir,A20N (VT-WGK),Departed 10:40 AM
10:30 AM,SG6429,Kanpur (KNU),SpiceJet,B738 (VT-SZA),Departed 10:49 AM
10:30 AM,WY202,Muscat (MCT),Oman Air,B788 (A4O-SA),Departed 11:12 AM
10:30 AM,6E453,Amritsar (ATQ),IndiGo,A320 (VT-IHQ),Departed 10:59 AM
10:30 AM,6E496,Indore (IDR),IndiGo,A20N (VT-ITL),Departed 10:51 AM
10:40 AM,6E1783,Male (MLE),IndiGo,A320 (VT-IGS),Departed 11:16 AM
10:45 AM,6E559,Jammu (IXJ),IndiGo,A320 (VT-IEX),Departed 11:10 AM
10:45 AM,SQ7951,Singapore (SIN),Singapore Airlines,74Y,Unknown
10:50 AM,G82502,Ranchi (IXR),GoAir,A20N (VT-WJP),Departed 11:22 AM
10:50 AM,UK621,Varanasi (VNS),Vistara,A20N (VT-TNV),Departed 11:25 AM
10:55 AM,G8395,Lucknow (LKO),GoAir,A20N (VT-WJH),Departed 11:30 AM
11:00 AM,AI647,Jamnagar (JGA),Air India,A319 (VT-SCO),Departed 12:11 PM
11:00 AM,UK131,Colombo (CMB),Vistara,A20N (VT-TNI),Departed 11:19 AM
11:00 AM,6E5303,Jodhpur (JDH),IndiGo,A20N (VT-IZC),Departed 11:26 AM
11:05 AM,6.00E+298,Delhi (DEL),IndiGo,A320 (VT-IGW),Departed 11:36 AM
11:10 AM,AI611,Jaipur (JAI),Air India,A321 (VT-PPW),Departed 11:44 AM
11:10 AM,AI679,Mangalore (IXE),Air India,A20N (VT-EXP),Departed 12:25 PM
11:10 AM,6E5914,Allahabad (IXD),IndiGo,A320 (VT-IFB),Departed 11:39 AM
11:15 AM,6E1709,Doha (DOH),IndiGo,A21N (VT-IUF),Departed 12:32 PM
11:20 AM,G8585,Patna (PAT),GoAir,A20N (VT-WGX),Departed 11:41 AM
11:20 AM,6.00E+179,Goa (GOI),IndiGo,A320 (VT-IHF),Departed 11:50 AM
11:25 AM,SG6435,Rajkot (RAJ),SpiceJet,B737 (VT-SYU),Departed 11:58 AM
11:25 AM,UK841,Goa (GOI),Vistara,B738 (VT-TGG),Departed 12:08 PM
11:30 AM,G8141,Goa (GOI),GoAir,A320 (VT-GOP),Departed 11:59 AM
11:30 AM,SG488,Goa (GOI),SpiceJet,B738 (VT-SYX),Departed 12:02 PM
11:35 AM,6E5388,Nagpur (NAG),IndiGo,A20N (VT-ITH),Departed 12:16 PM
11:40 AM,ET641,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-AVB),Departed 11:55 AM
11:40 AM,6E323,Kolkata (CCU),IndiGo,A320 (VT-IHM),Departed 12:35 PM
11:50 AM,SQ421,Singapore (SIN),Singapore Airlines,A359 (9V-SML),Departed 12:19 PM
11:55 AM,UK960,Delhi (DEL),Vistara,A320 (VT-TTD),Departed 12:41 PM
11:55 AM,6E734,Chandigarh (IXC),IndiGo,A20N (VT-IJM),Departed 1:04 PM
12:00 PM,G82504,Ahmedabad (AMD),GoAir,A20N (VT-WGT),Departed 12:04 PM
