Time,Flight Number,Destination,Flight Name,Aircraft,Status
12:05 AM,G82508,Delhi (DEL),GoAir,A20N (VT-WJK),Departed 12:25 AM
12:05 AM,I5330,Delhi (DEL),AirAsia,A320 (VT-BKK),Departed 12:35 AM
12:05 AM,PG734,Bangkok (BKK),Bangkok Airways (Samui Livery),A320 (HS-PGW),Departed 12:35 AM
12:10 AM,UA49,New York (EWR),United Airlines,B77W (N2331U),Departed 12:47 AM
12:15 AM,6E848,Bengaluru (BLR),IndiGo,A20N (VT-ITF),Departed 12:53 AM
12:20 AM,6E386,Chennai (MAA),IndiGo,A20N (VT-IVP),Departed 12:33 AM
12:25 AM,6E6185,Cochin (COK),IndiGo,A320 (VT-INZ),Departed 12:38 AM
12:30 AM,SG612,Goa (GOI),SpiceJet,B737 (VT-SLB),Departed 1:03 AM
12:35 AM,G8383,Kannur (CNN),GoAir,A20N (VT-WJB),Departed 12:42 AM
12:35 AM,SG490,Kolkata (CCU),SpiceJet,B737 (VT-SYT),Departed 1:18 AM
12:45 AM,AI911,Dubai (DXB),Air India,B788 (VT-ANC),Departed 1:29 AM
12:50 AM,SG789,Bengaluru (BLR),SpiceJet,B738 (VT-SYI),Departed 2:05 AM
12:50 AM,SG6287,Chennai (MAA),SpiceJet,B738 (VT-SLL),Departed 1:47 AM
12:50 AM,6E5384,Hyderabad (HYD),IndiGo,A320 (VT-IFK),Departed 1:10 AM
12:50 AM,6E6489,Delhi (DEL),IndiGo,A320 (VT-IFQ),Departed 1:12 AM
12:55 AM,DL25,New York (JFK),Delta Air Lines,B77L (N710DN),Departed 1:31 AM
12:55 AM,SQ425,Singapore (SIN),Singapore Airlines,B772 (9V-SVM),Departed 1:16 AM
1:10 AM,I5308,Bengaluru (BLR),AirAsia,A320 (VT-RED),Departed 1:20 AM
1:20 AM,LX155,Zurich (ZRH),Swiss,A343 (HB-JMH),Canceled
1:25 AM,G821,Phuket (HKT),GoAir,A20N (VT-WGU),Departed 1:27 AM
1:25 AM,6E1768,Dubai (DXB),IndiGo,A320 (VT-IHM),Departed 1:35 AM
1:30 AM,AI191,New York (EWR),Air India,B77W (VT-ALM),Departed 2:11 AM
1:35 AM,LH767,Munich (MUC),Lufthansa,359,Canceled
1:35 AM,AI31,Ahmedabad (AMD),Air India,B788 (VT-ANZ),Departed 1:55 AM
1:40 AM,CX660,Hong Kong (HKG),Cathay Pacific,B77W (B-KQR),Departed 1:39 AM
1:50 AM,I5317,Kolkata (CCU),AirAsia,A320 (VT-HYD),Departed 1:43 AM
1:50 AM,6.00E+19,Singapore (SIN),IndiGo,A320 (VT-IES),Departed 2:01 AM
1:50 AM,6.00E+154,Delhi (DEL),IndiGo,A20N (VT-ITG),Departed 1:49 AM
2:00 AM,AI33,Goa (GOI),Air India,A319 (VT-SCG),Departed 2:18 AM
2:05 AM,AF217,Paris (CDG),Air France,B77W (F-GSQD),Departed 2:32 AM
2:15 AM,BA138,London (LHR),British Airways (GREAT Festival of Creativity),B772 (G-YMML),Departed 3:14 AM
2:20 AM,SG6267,Delhi (DEL),SpiceJet,B738 (VT-SGQ),Departed 4:18 AM
2:25 AM,KU302,Kuwait City (KWI),Kuwait Airways,A332 (9K-APA),Departed 2:12 AM
2:30 AM,KL878,Amsterdam (AMS),KLM,B789 (PH-BHC),Departed 3:18 AM
2:30 AM,6.00E+272,Hyderabad (HYD),IndiGo,A20N (VT-IVI),Departed 2:36 AM
2:40 AM,WE336,Bangkok (BKK),THAI Smile,A320 (HS-TXA),Departed 2:49 AM
2:45 AM,CA890,Beijing (PEK),Air China,333,Unknown
2:55 AM,LH757,Frankfurt (FRA),Lufthansa,B744 (D-ABVW),Departed 4:09 AM
3:00 AM,VS355,London (LHR),Virgin Atlantic,B789 (G-VNEW),Departed 4:05 AM
3:05 AM,UK924,Delhi (DEL),Vistara,A20N (VT-TNK),Departed 3:21 AM
3:10 AM,UL142,Colombo (CMB),SriLankan Airlines,A320 (4R-MRE),Departed 4:04 AM
4:00 AM,G8461,Port Blair (IXZ),GoAir,A320 (VT-GOP),Departed 4:20 AM
4:00 AM,QR557,Doha (DOH),Qatar Airways,B77W (A7-BET),Departed 4:34 AM
4:05 AM,ET611,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-AVD),Departed 4:29 AM
4:05 AM,J9402,Kuwait City (KWI),Jazeera Airways,A320 (9K-CAO),Departed 4:15 AM
4:05 AM,SG81,Bangkok (BKK),SpiceJet,B738 (VT-SYV),Departed 4:26 AM
4:15 AM,EK501,Dubai (DXB),Emirates,A388 (A6-EOG),Departed 4:37 AM
4:25 AM,SG7045,Sharjah (SHJ),SpiceJet,-,Canceled
4:40 AM,EY205,Abu Dhabi (AUH),Etihad,B77W (A6-ETR),Departed 4:51 AM
4:55 AM,G8575,Goa (GOI),GoAir,A20N (VT-WGE),Departed 4:54 AM
