Time,Flight Number,Source,Flight Name,Aircraft,Status
1:25 AM,G821,Phuket (HKT),GoAir,A20N (VT-WGE),Departed 1:23 AM
1:25 AM,6E1768,Dubai (DXB),IndiGo,A320 (VT-IEL),Departed 1:33 AM
1:30 AM,AI191,New York (EWR),Air India (Star Alliance Livery),B77W (VT-ALJ),Departed 2:06 AM
1:35 AM,LH767,Munich (MUC),Lufthansa,A359 (D-AIXK),Departed 2:04 AM
1:50 AM,I5317,Kolkata (CCU),AirAsia,A320 (VT-HYD),Departed 2:13 AM
1:50 AM,6.00E+19,Singapore (SIN),IndiGo,A320 (VT-IFT),Departed 1:44 AM
1:50 AM,6.00E+154,Delhi (DEL),IndiGo,A320 (VT-IER),Departed 2:03 AM
2:00 AM,AI33,Goa (GOI),Air India,A319 (VT-SCN),Departed 2:16 AM
2:15 AM,BA138,London (LHR),British Airways (GREAT Festival of Creativity),B772 (G-YMML),Departed 2:57 AM
2:20 AM,SG6267,Delhi (DEL),SpiceJet,B738 (VT-SLF),Departed 2:43 AM
2:25 AM,KU302,Kuwait City (KWI),Kuwait Airways,A320 (9K-AKF),Departed 2:18 AM
2:25 AM,BZ154,Ahmedabad (AMD),Blue Dart Aviation,B752 (VT-BDQ),Departed 2:33 AM
2:30 AM,KL878,Amsterdam (AMS),KLM,B789 (PH-BHL),Departed 2:43 AM
2:30 AM,6.00E+272,Hyderabad (HYD),IndiGo,A320 (VT-IGV),Departed 2:30 AM
2:35 AM,AI31,Ahmedabad (AMD),Air India,B788 (VT-ANJ),Departed 2:53 AM
2:35 AM,SG748,Hyderabad (HYD),SpiceJet,B738 (VT-SGX),Departed 2:46 AM
2:40 AM,WE336,Bangkok (BKK),THAI Smile,A320 (HS-TXE),Departed 2:36 AM
2:50 AM,MS969,Cairo (CAI),EgyptAir,A332 (SU-GCG),Departed 3:00 AM
2:55 AM,LH757,Frankfurt (FRA),Lufthansa,B744 (D-ABVX),Departed 3:15 AM
3:00 AM,VS355,London (LHR),Virgin Atlantic,B789 (G-VBEL),Departed 3:11 AM
3:00 AM,SG7064,Delhi (DEL),SpiceXpress,B737 (VT-SFB),Departed 4:01 AM
3:05 AM,BZ102,Delhi (DEL),Blue Dart Aviation,B752 (VT-BDM),Departed 3:04 AM
3:05 AM,UK924,Delhi (DEL),Vistara,A20N (VT-TNB),Departed 3:18 AM
3:10 AM,UL142,Colombo (CMB),SriLankan Airlines,A20N (4R-ANB),Departed 3:19 AM
4:00 AM,QR557,Doha (DOH),Qatar Airways,A333 (A7-AEN),Departed 4:12 AM
4:00 AM,G8461,Port Blair (IXZ),GoAir,A320 (VT-GOL),Departed 4:10 AM
4:05 AM,ET611,Addis Ababa (ADD),Ethiopian Airlines,A359 (ET-AWO),Departed 4:15 AM
4:05 AM,J9402,Kuwait City (KWI),Jazeera Airways,A320 (9K-CAK),Departed 4:22 AM
