Source,Destination,Flight Name,type,Status,Time,Actual_Time,Delay
Mumbai,Singapore (SIN),Singapore Airlines,D,1,2020-02-02 00:55:00,2020-02-02 01:17:00,22.0
Mumbai,Cochin (COK),Air India,D,1,2020-02-02 05:25:00,2020-02-02 05:33:00,8.0
Hyderabad (HYD),Mumbai,Air India,A,0,2020-02-02 07:15:00,2020-02-02 07:08:00,7.0
Cochin (COK),Mumbai,SpiceJet,A,0,2020-02-02 07:40:00,2020-02-02 07:34:00,6.0
Dubai (DXB),Mumbai,Emirates,A,0,2020-02-02 08:25:00,2020-02-02 08:02:00,23.0
Mumbai,Patna (PAT),Air India,D,1,2020-02-02 09:50:00,2020-02-02 11:02:00,72.0
Bengaluru (BLR),Mumbai,IndiGo,A,0,2020-02-02 11:20:00,2020-02-02 11:08:00,12.0
Bengaluru (BLR),Mumbai,AirAsia,A,0,2020-02-02 12:35:00,2020-02-02 12:35:00,0.0
Mumbai,Kolkata (CCU),Air India,D,1,2020-02-02 22:00:00,2020-02-02 23:01:00,61.0
Mumbai,Bangkok (BKK),Thai Airways (Star Alliance Livery),D,1,2020-02-02 23:20:00,2020-02-02 23:48:00,28.0
Tel Aviv (TLV),Mumbai,El Al Israel Airlines,A,0,2020-02-03 07:25:00,2020-02-03 06:59:00,26.0
Delhi (DEL),Mumbai,Vistara,A,0,2020-02-03 09:45:00,2020-02-03 09:46:00,1.0
Mumbai,Bhubaneswar (BBI),Air India,D,1,2020-02-03 12:05:00,2020-02-03 13:06:00,61.0
Mumbai,Udaipur (UDR),Air India,D,1,2020-02-03 14:20:00,2020-02-03 14:57:00,37.0
Bengaluru (BLR),Mumbai,IndiGo,A,0,2020-02-03 17:20:00,2020-02-03 17:03:00,17.0
Mumbai,Jaipur (JAI),GoAir,D,1,2020-02-03 19:10:00,2020-02-03 19:48:00,38.0
Mumbai,Kolkata (CCU),Air India,D,1,2020-02-03 21:00:00,2020-02-03 21:57:00,57.0
Mumbai,Hyderabad (HYD),Air India,D,1,2020-02-03 22:20:00,2020-02-03 22:48:00,28.0
Hyderabad (HYD),Mumbai,Vistara,A,0,2020-02-03 22:55:00,2020-02-03 23:38:00,43.0
Indore (IDR),Mumbai,IndiGo,A,0,2020-02-04 08:40:00,2020-02-04 08:45:00,5.0
Mumbai,Riyadh (RUH),Air India,D,1,2020-02-04 12:30:00,2020-02-04 13:14:00,44.0
Bengaluru (BLR),Mumbai,Vistara,A,0,2020-02-04 13:20:00,2020-02-04 13:05:00,15.0
Mumbai,Bengaluru (BLR),SpiceXpress,D,1,2020-02-05 04:50:00,2020-02-05 05:57:00,67.0
Belgaum (IXG),Mumbai,Star Air,A,0,2020-02-05 13:05:00,2020-02-05 13:00:00,5.0
Chennai (MAA),Mumbai,Vistara,A,0,2020-02-05 14:15:00,2020-02-05 14:50:00,35.0
Mumbai,Bengaluru (BLR),IndiGo,D,1,2020-02-05 15:55:00,2020-02-05 16:53:00,58.0
Hyderabad (HYD),Mumbai,IndiGo,A,0,2020-02-06 13:45:00,2020-02-06 13:46:00,1.0
