iter	RMSE
0	0.8799702526
1	0.7333530243
2	0.6634167385
3	0.6330906388
4	0.6158934514
5	0.6052066633
6	0.5986737576
7	0.5936540517
8	0.581008241
9	0.577589703
10	0.5747897805
11	0.5725971673
12	0.5696886721
13	0.5675570178
14	0.5642398756
15	0.5612122241
16	0.5595167367
17	0.5574563711
18	0.5551581928
19	0.5529259909
20	0.5512685213
21	0.5492455673
22	0.5483918745
23	0.5469277324
24	0.5457589792
25	0.5440733748
26	0.5424025166
27	0.5412440004
28	0.5405724368
29	0.5394891159
30	0.5387741583
31	0.5376695365
32	0.5369581397
33	0.5362523847
34	0.5354430317
35	0.5348326121
36	0.5341292365
37	0.5334790176
38	0.5326447459
39	0.5318448281
40	0.5308988796
41	0.5302736584
42	0.5298074772
43	0.5291912178
44	0.5271897992
45	0.5265074988
46	0.5258488438
47	0.5252852785
48	0.5245474486
49	0.5242987453
50	0.5237680083
51	0.5229066913
52	0.5225039196
53	0.5222624896
54	0.52169931
55	0.5212046973
56	0.5208157641
57	0.5204281811
58	0.5199892167
59	0.5196979963
60	0.519270661
61	0.5189601145
62	0.5185635903
63	0.5182705466
64	0.5179234493
65	0.5175614004
66	0.5170021621
67	0.516766723
68	0.5162797037
69	0.5150758972
70	0.5147396113
71	0.5143521209
72	0.5141037178
73	0.5138298113
74	0.5135830934
75	0.5133360007
76	0.5130364043
77	0.5127115546
78	0.5123685394
79	0.5119156515
80	0.511801925
81	0.5116271933
82	0.5114388811
83	0.5113450741
84	0.5111865014
85	0.510942865
86	0.5105831578
87	0.510255346
88	0.5099576908
89	0.5096778015
90	0.5094827097
91	0.5090569823
92	0.5088403677
93	0.5085569134
94	0.5078879866
95	0.5077152306
96	0.5075615278
97	0.5072376976
98	0.5071127558
99	0.5068568777
100	0.5067381542
101	0.506547356
102	0.5063452166
103	0.5061856697
104	0.5054086543
105	0.5053087928
106	0.5051156088
107	0.5048647509
108	0.5047155552
109	0.5040762287
110	0.5039144916
111	0.5037286035
112	0.5035183654
113	0.5033867786
114	0.5031260289
115	0.5029331642
116	0.5028044854
117	0.502696413
118	0.5025908493
119	0.502394884
120	0.5022237653
121	0.5020176056
122	0.5018492621
123	0.5017251103
124	0.5014926003
125	0.5012764262
126	0.5010300383
127	0.5008911279
128	0.5007217297
129	0.5005952053
130	0.5004061777
131	0.5001759078
132	0.5000563807
133	0.4999069131
134	0.4997750308
135	0.499705996
136	0.4996303331
137	0.4994938913
138	0.4993580512
139	0.4992485507
140	0.4991090281
141	0.4990252314
142	0.4989541159
143	0.4988672272
144	0.4987849527
145	0.4985676141
146	0.4984003276
147	0.498266855
148	0.4980859684
149	0.4979849157
150	0.4978376579
151	0.4976815562
152	0.4974993665
153	0.4973914095
154	0.4972782423
155	0.4970676866
156	0.4969801312
157	0.4968428372
158	0.4966193531
159	0.4965222195
160	0.4963702903
161	0.4962048076
162	0.4959254134
163	0.4958055019
164	0.4956893759
165	0.4955954212
166	0.4954790588
167	0.495308332
168	0.4951932751
169	0.4950330781
170	0.4949277207
171	0.4948281837
172	0.4947314027
173	0.494585427
174	0.4945137578
175	0.4943704412
176	0.4942708806
177	0.4940958983
178	0.4940359292
179	0.4939254736
180	0.4938140694
181	0.4936570386
182	0.4934431839
183	0.4932987859
184	0.4929922951
185	0.492928302
186	0.4928368498
187	0.4927153165
188	0.4926222459
189	0.4925357951
190	0.4924366408
191	0.4923281673
192	0.4921773813
193	0.492053886
194	0.4919913039
195	0.4914751465
196	0.4912661211
197	0.4911646867
198	0.4910904149
199	0.4909283839
