iter	Passed	Remaining
0	411	81928
1	875	86705
2	1569	103061
3	2308	113117
4	2686	104784
5	3168	102457
6	3572	98502
7	3898	93553
8	4292	91100
9	4684	88999
10	5158	88632
11	5488	85990
12	5865	84376
13	6268	83277
14	6689	82498
15	7082	81448
16	7368	79323
17	7688	77742
18	8103	77199
19	8466	76197
20	8925	76075
21	9305	75292
22	9708	74714
23	10084	73951
24	10447	73135
25	10727	71794
26	11060	70867
27	11336	69639
28	11670	68815
29	11995	67972
30	12284	66969
31	12526	65762
32	12939	65480
33	13308	64975
34	13544	63853
35	13810	62914
36	14040	61852
37	14395	61370
38	14564	60125
39	14782	59131
40	15121	58642
41	15437	58075
42	15758	57536
43	16008	56756
44	16400	56490
45	16771	56147
46	17168	55889
47	17524	55493
48	17938	55279
49	18312	54936
50	18656	54505
51	18944	53920
52	19283	53483
53	19633	53083
54	19976	52666
55	20374	52391
56	20698	51927
57	21090	51636
58	21479	51333
59	21848	50979
60	22224	50643
61	22558	50211
62	22875	49746
63	23332	49581
64	23672	49165
65	23955	48635
66	24253	48144
67	24608	47769
68	24955	47380
69	25347	47074
70	25680	46659
71	26011	46243
72	26427	45976
73	26857	45730
74	27232	45387
75	27645	45105
76	27995	44720
77	28346	44337
78	28640	43866
79	29010	43516
80	29403	43198
81	29652	42669
82	29973	42251
83	30397	41977
84	30741	41591
85	31151	41293
86	31474	40880
87	31875	40568
88	32277	40256
89	32582	39822
90	33006	39534
91	33435	39250
92	33922	39029
93	34328	38710
94	34669	38318
95	35035	37955
96	35369	37557
97	35655	37110
98	36016	36743
99	36369	36369
100	36707	35980
101	37035	35583
102	37385	35207
103	37801	34893
104	38172	34536
105	38572	34205
106	38872	33786
107	39206	33398
108	39561	33028
109	39922	32663
110	40171	32209
111	40494	31817
112	40730	31359
113	40959	30899
114	41328	30547
115	41578	30108
116	41805	29656
117	42101	29256
118	42539	28955
119	42927	28618
120	43446	28366
121	43819	28015
122	44135	27629
123	44466	27253
124	44740	26844
125	45064	26466
126	45385	26087
127	45701	25706
128	46071	25357
129	46355	24960
130	46627	24559
131	46885	24153
132	47227	23791
133	47517	23404
134	47982	23102
135	48342	22749
136	48696	22393
137	49071	22046
138	49402	21680
139	49736	21315
140	50103	20965
141	50432	20599
142	50799	20248
143	51163	19896
144	51530	19546
145	51964	19219
146	52325	18865
147	52710	18520
148	53122	18183
149	53560	17853
150	53994	17521
151	54437	17190
152	54791	16831
153	55145	16472
154	55475	16105
155	55831	15747
156	56208	15394
157	56559	15034
158	56894	14670
159	57239	14309
160	57591	13950
161	58024	13610
162	58349	13244
163	58765	12899
164	59084	12533
165	59295	12144
166	59646	11786
167	60001	11428
168	60310	11062
169	60664	10705
170	60995	10344
171	61270	9974
172	61602	9614
173	61951	9257
174	62257	8893
175	62545	8528
176	62828	8164
177	63293	7822
178	63692	7472
179	64056	7117
180	64395	6759
181	64729	6401
182	65144	6051
183	65491	5694
184	65805	5335
185	66232	4985
186	66585	4628
187	66974	4274
188	67190	3910
189	67529	3554
190	67948	3201
191	68368	2848
192	68647	2489
193	68955	2132
194	69275	1776
195	69567	1419
196	69864	1063
197	70106	708
198	70499	354
199	70869	0
